09/27/24 17:07:14			
			
Emission Current(mA)	Electron(eV)	Foucs(-V)	RF Set
0.2	70	40	10.000001
			
X	Y		
0.4	3.68E-12		
0.5	3.68E-12		
0.6	2.44E-12		
0.8	2.02E-12		
0.9	1.67E-12		
1	1.31E-12		
1.1	1.07E-12		
1.2	8.86E-13		
1.3	7.60E-13		
1.4	6.31E-13		
1.5	5.54E-13		
1.6	4.98E-13		
1.7	5.03E-13		
1.9	4.51E-13		
2	4.05E-13		
2.1	3.70E-13		
2.2	3.44E-13		
2.3	3.34E-13		
2.4	3.34E-13		
2.5	3.49E-13		
2.6	3.83E-13		
2.7	4.22E-13		
2.8	4.51E-13		
3	4.71E-13		
3.1	5.29E-13		
3.2	5.68E-13		
3.3	6.12E-13		
3.4	6.38E-13		
3.5	6.46E-13		
3.6	6.33E-13		
3.7	6.06E-13		
3.8	5.45E-13		
3.9	4.37E-13		
4.1	2.95E-13		
4.2	2.72E-13		
4.3	2.58E-13		
4.4	2.51E-13		
4.5	2.43E-13		
4.6	2.52E-13		
4.7	2.46E-13		
4.8	2.45E-13		
4.9	2.47E-13		
5	2.48E-13		
5.1	2.44E-13		
5.3	2.41E-13		
5.4	2.45E-13		
5.5	2.45E-13		
5.6	2.41E-13		
5.7	2.38E-13		
5.8	2.44E-13		
5.9	2.46E-13		
6	2.42E-13		
6.1	2.42E-13		
6.2	2.45E-13		
6.4	2.47E-13		
6.5	2.44E-13		
6.6	2.47E-13		
6.7	2.42E-13		
6.8	2.42E-13		
6.9	2.50E-13		
7	2.41E-13		
7.1	2.43E-13		
7.2	2.41E-13		
7.3	2.44E-13		
7.5	2.41E-13		
7.6	2.43E-13		
7.7	2.49E-13		
7.8	2.53E-13		
7.9	2.43E-13		
8	2.47E-13		
8.1	2.39E-13		
8.2	2.48E-13		
8.3	2.45E-13		
8.4	2.43E-13		
8.6	2.45E-13		
8.7	2.40E-13		
8.8	2.42E-13		
8.9	2.43E-13		
9	2.42E-13		
9.1	2.44E-13		
9.2	2.46E-13		
9.3	2.46E-13		
9.4	2.46E-13		
9.5	2.44E-13		
9.7	2.44E-13		
9.8	2.43E-13		
9.9	2.42E-13		
10	2.47E-13		
10.1	2.44E-13		
10.2	2.44E-13		
10.3	2.40E-13		
10.4	2.44E-13		
10.5	2.43E-13		
10.6	2.44E-13		
10.7	2.34E-13		
10.9	2.43E-13		
11	2.39E-13		
11.1	2.51E-13		
11.2	2.58E-13		
11.3	2.65E-13		
11.4	2.64E-13		
11.5	2.66E-13		
11.6	2.69E-13		
11.7	2.70E-13		
11.8	2.78E-13		
12	2.70E-13		
12.1	2.72E-13		
12.2	2.61E-13		
12.3	2.56E-13		
12.4	2.45E-13		
12.5	2.48E-13		
12.6	2.48E-13		
12.7	2.47E-13		
12.8	2.52E-13		
12.9	2.54E-13		
13.1	2.53E-13		
13.2	2.67E-13		
13.3	2.84E-13		
13.4	3.01E-13		
13.5	3.24E-13		
13.6	3.44E-13		
13.7	3.58E-13		
13.8	3.77E-13		
13.9	3.94E-13		
14	3.88E-13		
14.2	3.76E-13		
14.3	3.59E-13		
14.4	3.28E-13		
14.5	2.73E-13		
14.6	2.55E-13		
14.7	2.56E-13		
14.8	2.52E-13		
14.9	2.56E-13		
15	2.70E-13		
15.1	2.69E-13		
15.3	2.65E-13		
15.4	2.78E-13		
15.5	2.89E-13		
15.6	3.07E-13		
15.7	3.30E-13		
15.8	3.48E-13		
15.9	3.72E-13		
16	3.88E-13		
16.1	3.96E-13		
16.2	3.81E-13		
16.3	3.84E-13		
16.5	3.44E-13		
16.6	3.39E-13		
16.7	3.70E-13		
16.8	4.32E-13		
16.9	4.68E-13		
17	5.37E-13		
17.1	5.91E-13		
17.2	6.14E-13		
17.3	6.06E-13		
17.4	5.62E-13		
17.6	4.97E-13		
17.7	5.06E-13		
17.8	6.18E-13		
17.9	7.95E-13		
18	9.15E-13		
18.1	1.03E-12		
18.2	1.09E-12		
18.3	1.08E-12		
18.4	9.80E-13		
18.5	7.33E-13		
18.7	4.80E-13		
18.8	3.88E-13		
18.9	3.95E-13		
19	4.13E-13		
19.1	4.60E-13		
19.2	5.17E-13		
19.3	5.90E-13		
19.4	7.16E-13		
19.5	9.75E-13		
19.6	1.28E-12		
19.8	1.72E-12		
19.9	2.17E-12		
20	2.77E-12		
20.1	3.02E-12		
20.2	3.24E-12		
20.3	3.45E-12		
20.4	3.40E-12		
